Date,SalesRep,Sum of Budget
2023-09-01,John Doe,18000
2023-10-01,Emily Stone,18000
2023-10-01,Jane Smith,18000
2023-10-01,John Doe,18000
2023-11-01,Emily Stone,18000
2023-11-01,Jane Smith,18000
2023-11-01,John Doe,18000
2023-12-01,Emily Stone,18000
2023-12-01,Jane Smith,18000
2023-12-01,John Doe,18000
2024-01-01,Emily Stone,19000
2024-01-01,Jane Smith,19000
2024-01-01,John Doe,19000
2024-02-01,Emily Stone,19000
2024-02-01,Jane Smith,19000
2024-02-01,John Doe,19000
2024-03-01,Emily Stone,19000
2024-03-01,Jane Smith,19000
2024-03-01,John Doe,19000
2024-04-01,Emily Stone,19000
2024-04-01,Jane Smith,19000
2024-04-01,John Doe,19000
2024-05-01,Emily Stone,19000
2024-05-01,Jane Smith,19000
2024-05-01,John Doe,19000
2024-06-01,Emily Stone,19000
2024-06-01,Jane Smith,19000
2024-06-01,John Doe,19000
2024-07-01,Emily Stone,19000
2024-07-01,Jane Smith,19000
2024-07-01,John Doe,19000
2024-08-01,Emily Stone,19000
2024-08-01,Jane Smith,19000
2024-08-01,John Doe,19000
2024-09-01,Emily Stone,19000
2024-09-01,Jane Smith,19000
2024-09-01,John Doe,19000
2024-10-01,Emily Stone,19000
2024-10-01,Jane Smith,19000
2024-10-01,John Doe,19000
2024-11-01,Emily Stone,19000
2024-11-01,Jane Smith,19000
2024-11-01,John Doe,19000
2024-12-01,Emily Stone,19000
2024-12-01,Jane Smith,19000
2024-12-01,John Doe,19000
2025-01-01,Emily Stone,20000
2025-01-01,Jane Smith,20000
2025-01-01,John Doe,20000
2025-02-01,Emily Stone,20000
2025-02-01,Jane Smith,20000
2025-02-01,John Doe,20000
2025-03-01,Emily Stone,20000
2025-03-01,Jane Smith,20000
2025-03-01,John Doe,20000
2025-04-01,Emily Stone,20000
2025-04-01,Jane Smith,20000
2025-04-01,John Doe,20000
2025-05-01,Emily Stone,20000
2025-05-01,Jane Smith,20000
2025-05-01,John Doe,20000
2025-06-01,Emily Stone,20000
2025-06-01,Jane Smith,20000
2025-06-01,John Doe,20000
2025-07-01,Emily Stone,20000
2025-07-01,Jane Smith,20000
2025-07-01,John Doe,20000
2025-08-01,Emily Stone,20000
2025-08-01,Jane Smith,20000
2025-08-01,John Doe,20000
2025-09-01,Emily Stone,20000
2025-09-01,Jane Smith,20000
2025-09-01,John Doe,20000
2025-10-01,Emily Stone,20000
2025-10-01,Jane Smith,20000
2025-10-01,John Doe,20000
2025-11-01,Emily Stone,20000
2025-11-01,Jane Smith,20000
2025-11-01,John Doe,20000
2025-12-01,Emily Stone,20000
2025-12-01,Jane Smith,20000
2025-12-01,John Doe,20000
